dopant_host_charge_mismatch,dopant_concentration,temperature_K,MagpieData avg_dev NUnfilled,MagpieData mean GSvolume_pa,MagpieData maximum MendeleevNumber,MagpieData maximum Electronegativity,MagpieData mean SpaceGroupNumber,frac_Sb,frac s valence electrons,dopant_host_radius_mismatch,target_value
0.0,0.02,500.0,0.5123500000000001,29.366966666649997,90.0,2.1,174.04500000000002,0.245,0.1206480523957256,0.1079999999999999,210.0
0.0,0.04,300.0,0.5244000000000001,29.37976666665,90.0,2.1,174.34,0.24,0.1206064782908339,0.1079999999999999,280.0
0.0,0.04,400.0,0.5244000000000001,29.37976666665,90.0,2.1,174.34,0.24,0.1206064782908339,0.1079999999999999,250.0
0.0,0.04,500.0,0.5244000000000001,29.37976666665,90.0,2.1,174.34,0.24,0.1206064782908339,0.1079999999999999,260.0
1.0,0.06,573.0,0.53615,29.17319166665,90.0,2.1,174.17,0.235,0.1210653753026634,0.19,251.0
1.0,0.04,623.0,0.5149999999999999,29.31966666665,90.0,2.33,174.34,0.24,0.1196172248803827,0.43,276.0
1.0,0.04,300.0,0.5149999999999999,29.31966666665,90.0,2.33,174.34,0.24,0.1196172248803827,0.43,186.0
1.0,0.04,300.0,0.4522666666666666,28.77595555553333,90.0,2.33,176.33333333333334,0.0,0.1153846153846153,0.43,186.0
1.0,0.04,623.0,0.4522666666666666,28.77595555553333,90.0,2.33,176.33333333333334,0.0,0.1153846153846153,0.43,276.0
1.0,0.03,300.0,0.5184124999999999,29.289141666649996,90.0,2.1,173.95999999999998,0.2425,0.1215066828675577,0.04,335.7
1.0,0.07,300.0,0.5525000000000001,28.98539942527075,90.0,2.1,174.6425,0.2325,0.1218662952646239,0.0699999999999999,1217.0
1.0,0.03,300.0,0.507275,29.200491666649995,90.0,2.1,174.1925,0.2425,0.1204215618521078,0.03,268.0
1.0,0.02,300.0,0.5123500000000001,29.26616666665,90.0,2.1,173.89,0.245,0.1208146358301691,0.02,130.0
1.0,0.015,300.0,0.4981250000000001,29.27451666665,90.0,2.1,173.97125,0.24625,0.120845921450151,0.16,165.0
0.0,0.005,300.0,0.5343188164252709,29.374738154596756,90.0,2.1,173.73067331670822,0.2481296758104738,0.1208157645641511,0.2499999999999999,170.0
0.0,0.005,500.0,0.5343188164252709,29.374738154596756,90.0,2.1,173.73067331670822,0.2481296758104738,0.1208157645641511,0.2499999999999999,180.0
0.0,0.01,300.0,0.5698845156435596,29.381820448861095,90.0,2.1,173.76558603491273,0.2468827930174563,0.1209302325581395,0.2499999999999999,160.0
0.0,0.01,500.0,0.5698845156435596,29.381820448861095,90.0,2.1,173.76558603491273,0.2468827930174563,0.1209302325581395,0.2499999999999999,170.0
0.0,0.03,300.0,0.7121473125167133,29.410149625918457,90.0,2.1,173.90523690773065,0.2418952618453865,0.1213902818606259,0.2499999999999999,150.0
0.0,0.03,500.0,0.7121473125167133,29.410149625918457,90.0,2.1,173.90523690773065,0.2418952618453865,0.1213902818606259,0.2499999999999999,160.0
0.0,0.01,300.0,0.5224999999999999,29.36751041665,90.0,2.1,173.82,0.2475,0.1209398756046993,0.2719999999999999,193.7
